STU_ID,X4INCOMECAT,X4RFDGMJSTEM,X4OCCFBSTEM1,S4JOBSAT2,X5STEM3ERN,X1TXMQUINT,X1MTHINT,X1SCIINT,X1MTHUTI,X1SCIUTI,X1MTHEFF,X1SCIEFF,X1MTHID,X1SCIID,S1FAVSUBJ,X2TXMQUINT,S2MUSELIFE,S2MUSECLG,X1DADEDU,X1MOMEDU,S2EDUASP,X3TAGPA12,S4BIRTHSEX,X1RACE,X1SES_U
11358,4,0,0,-7,-8,3,-0.18,-0.67,0.67,0.28,-0.44,-1.21,-0.57,-0.94,4,2,2,2,0,2,8,3.5,-5,8,-1.1727
11359,1,-7,-7,-7,4,1,1.34,-2.59,1.31,1.69,0.95,-0.9,1.76,-0.94,7,1,1,1,0,0,6,2.0,-5,8,-0.3243
11360,3,0,-7,-7,-8,5,-0.65,0.16,-0.3,0.1,-0.17,-0.05,0.6,-0.33,11,5,2,1,5,5,7,4.0,-5,8,1.4484
11361,5,-1,0,1,3,5,-0.18,-0.56,0.27,-0.89,0.1,-0.16,-0.57,-0.33,4,5,2,2,4,2,5,3.0,-5,8,0.0071
11362,10,0,-7,2,13,2,-9.0,-9.0,-0.3,0.1,1.62,0.25,-1.73,0.27,7,3,2,2,2,2,2,1.5,-5,6,-0.0017
11364,4,-1,0,2,-8,4,-0.18,-0.35,-0.3,-0.33,0.1,0.25,0.03,0.91,7,3,2,2,2,4,5,3.5,-5,8,0.8782
11365,7,0,0,-7,17,5,1.69,0.54,0.5,-0.33,1.62,1.83,1.76,0.91,5,5,2,1,0,4,7,4.0,-5,8,0.5004
11366,5,0,5,-7,22,5,2.08,1.7,1.31,1.27,0.1,-0.05,1.16,0.27,6,5,1,1,4,4,7,3.5,-5,8,0.9167
11367,-8,-8,-8,-8,-6,2,-0.66,-1.06,-0.3,-0.89,0.1,-1.33,-0.57,2.15,2,1,2,2,-8,-8,4,-8.0,-5,8,-0.1889
11368,9,-7,0,1,-6,2,-1.01,-0.28,-0.3,0.1,-1.02,-0.16,-0.57,-0.33,9,-8,-8,-8,2,2,-8,2.5,-5,8,-0.3215
11369,4,0,0,-7,11,3,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,0.6,-0.33,5,4,2,2,-8,-8,7,4.0,-5,8,0.2505
11370,-8,-8,-8,-8,0,3,0.49,-0.28,-0.3,-0.33,-0.56,-0.48,-1.73,-1.57,11,1,3,3,3,2,8,2.5,-5,6,0.1776
11371,-8,-8,-8,-8,3,1,-0.36,-7.0,-0.3,-7.0,0.1,-7.0,0.6,-0.33,7,2,2,2,0,3,7,-1.0,-5,3,0.4204
11372,5,-7,-7,4,-8,2,0.85,1.26,-0.13,-0.71,0.49,-0.05,1.19,-0.33,3,3,2,2,2,2,7,2.5,-5,6,-0.5508
11373,-8,-8,-8,-8,8,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,5,1,1,-8,-8,6,2.5,-5,-9,-8.0
11374,6,-7,0,4,-6,4,1.02,-7.0,0.9,-7.0,1.62,-7.0,0.6,1.55,10,3,1,1,0,2,6,4.0,-5,8,-0.9117
11375,4,-7,-7,1,-6,4,2.08,0.16,1.31,-0.47,1.23,-0.17,1.76,-1.57,6,2,2,1,0,0,5,1.0,-5,5,-0.1128
11376,8,-7,0,2,-8,3,1.34,0.16,1.31,-0.15,-0.29,-0.48,-0.57,-0.97,7,3,1,1,1,4,3,2.0,-5,5,-0.5308
11377,5,-9,-7,-9,94,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,3,2,1,-8,-8,6,4.0,-5,2,-8.0
11378,5,0,-7,-7,3,1,-0.44,-0.92,-1.56,-3.1,-0.44,-2.91,1.76,-1.57,5,1,2,2,2,2,5,2.5,-5,5,-0.3436
11379,-8,-8,-8,-8,-6,3,-0.18,-7.0,0.9,-7.0,-0.3,-7.0,0.6,0.91,7,2,2,2,-8,-8,6,2.5,-5,6,0.087
11381,5,0,1,-7,15,4,-1.31,1.7,0.9,1.27,-0.17,0.68,0.03,0.91,7,4,2,1,4,2,5,3.0,-5,6,0.4024
11382,4,0,-9,-9,3,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,1,3,3,-8,-8,6,1.5,-5,2,-8.0
11383,-8,-8,-8,-8,-6,5,0.87,0.16,-0.07,-0.52,0.1,-0.05,0.6,-0.33,6,-8,-8,-8,-8,-8,-8,-8.0,-5,8,0.3253
11384,5,0,0,-7,22,2,0.19,0.16,-0.3,0.1,0.1,0.25,0.6,-0.33,12,2,2,2,2,3,6,2.0,-5,3,-0.0702
11385,4,0,0,-7,29,3,-9.0,-9.0,-0.3,-0.47,0.1,-0.46,0.6,0.27,6,3,1,1,0,2,7,2.5,-5,1,-1.0579
11387,1,-7,-7,-7,-6,1,0.57,-9.0,-0.7,-3.1,0.1,-2.91,0.6,-1.57,6,1,1,1,-8,-8,3,2.5,-5,8,-0.4483
11388,5,0,0,2,17,2,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,0.03,-0.33,6,3,2,2,3,2,7,3.5,-5,8,0.0217
11390,2,1,-7,-7,61,3,-0.66,-0.28,-0.7,-0.33,-9.0,0.25,0.6,0.31,7,3,2,1,2,3,5,3.0,-5,8,-0.0994
11391,5,0,0,-7,3,2,1.39,-1.38,-1.33,-1.45,0.1,-0.46,1.19,-0.94,7,5,3,3,0,2,6,3.5,-5,5,-0.198
11392,4,-7,-7,2,-9,4,0.01,-0.23,-0.87,0.28,-1.0,1.41,0.03,-0.36,5,4,2,2,2,0,7,2.0,-5,8,-0.1551
11393,-8,-8,-8,-8,1,3,-1.01,0.93,1.31,1.69,0.39,0.07,-0.53,-0.33,4,1,4,4,4,3,6,1.0,-5,8,0.4695
11395,-8,-8,-8,-8,-6,1,0.51,-7.0,-2.37,-7.0,-2.48,-7.0,-1.73,-0.33,7,1,2,2,2,2,8,-8.0,-5,8,-0.5504
11396,11,0,-7,-7,40,5,-0.48,0.15,-1.43,0.01,1.62,0.25,0.6,-1.57,7,5,2,2,0,4,7,3.0,-5,8,0.4047
11397,-8,-8,-8,-8,-6,3,0.1,-7.0,-3.51,-7.0,0.68,-7.0,-0.53,-1.57,7,5,2,2,-8,-8,4,2.0,-5,3,-0.6321
11398,-8,-8,-8,-8,-8,3,-0.36,0.47,1.31,1.69,-0.17,0.25,0.03,0.27,13,3,2,2,-8,-8,6,3.5,-5,8,-0.0671
11399,5,0,0,3,-8,5,0.19,-0.23,1.31,-0.33,1.62,1.83,1.16,-0.97,5,5,2,2,2,2,6,3.0,-5,8,-0.7967
11400,8,0,0,2,16,3,0.19,0.16,-0.3,-1.5,0.1,0.25,0.03,-0.94,4,3,2,2,4,3,5,3.5,-5,8,0.9286
11401,-8,-8,-8,-8,-6,1,0.19,-0.61,-0.3,0.1,-0.3,0.25,0.0,-0.33,7,-8,-8,-8,-8,-8,-8,2.5,-5,8,-0.2717
11402,4,0,-7,-7,-8,3,-0.24,1.32,0.27,0.71,0.1,1.83,-1.73,0.91,3,1,1,1,4,4,8,2.5,-5,8,0.6599
11403,-8,-8,-8,-8,11,4,-0.96,-7.0,-0.76,-7.0,0.95,-7.0,0.6,0.27,7,1,3,2,-8,-8,6,3.0,-5,8,-0.0166
